Municipio,Departamento
El Carmen de Bolívar,Bolívar 
San Jacinto,Bolívar 
San Juan Nepomuceno,Bolívar 
Mesetas,Meta
Mesetas,Meta
Puerto Lleras,Meta
Granada,Meta
San Juan de Arama,Meta
Funza,Cundinamarca
San Pablo de Borbur,Boyacá
San Miguel,Putumayo
Puerto Leguízamo,Putumayo
Mocoa,Putumayo
Valle del Guamuez,Putumayo
Barranquilla,Atlantico
Carmen de Bolívar ,Bolivar
Corozal,Sucre
Sincelejo,Sucre
Caucasia,Antioquia
Concordia,Antioquia
Yolombó,Antioquia
Andes,Antioquia
 Arauquita,Arauca
Tame,Arauca
Saravena,Arauca
Arauca,Arauca
 Fortul,Arauca
Cravo Norte,Arauca
Córdoba,Bolívar
El Carmen de Bolívar,Bolívar
Achí,Bolívar
Montecristo,Bolívar
Campohermoso,Boyacá
San Vicente del Caguán,Caquetá
 Puerto Rico,Caquetá
 Área rural de Florencia ,Caquetá
Chámeza,Casanare
 La Salina,Casanare
 Maní,Casanare
 Nunchía,Casanare
Paz de Ariporo,Casanare
Pore,Casanare
Sabanalarga,Casanare
San Luis de Palenque,Casanare
Tauramena,Casanare
Trinidad,Casanare
Villanueva,Casanare
El Yopal,Casanare
Tamara,Casanare
Orocué ,Casanare
 Patía,Cauca
Cachipay,Cundinamarca
Montelíbano,Córdoba
Puerto Libertador,Córdoba
Tadó,Chocó
El Carmen de Atrato,Chocó
Condoto,Chocó
Cubarral,Meta
Cumaral,Meta
El Castillo,Meta
Granada,Meta
Uribe,Meta
 Mesetas,Meta
Puerto Gaitán,Meta
San Carlos de Guaroa,Meta
Vistahermosa,Meta
Puerto Gaitán,Meta
El Tarra,Norte de Santander
 Puerto Santander,Norte de Santander
 Sardinata,Norte de Santander
Tibú,Norte de Santander
 Chinácota,Norte de Santander
 Área rural de Cúcuta,Norte de Santander
 Teorama,Norte de Santander
 Landázuri,Santander
 Guadalupe,Santander
 La Mojana,Sucre
Majagual,Sucre
Ovejas,Sucre
 Palmitos,Sucre
San Antonio de Palmito,Sucre
San Juan de Betulia,Sucre
 San Onofre,Sucre
 Sucre,Sucre
Toluviejo ,Sucre
 Chaparral,Tolima
Planadas,Tolima
 Florida,Valle del Cauca
Dagua,Valle del Cauca
 Cumaribo,Vichada
La Primavera,Vichada
Puerto Carreño,Vichada
 Santa Rosalía,Vichada
La Hormiga,Putumayo
Orito,Putumayo
San Miguel ,Putumayo
Acandí,Chocó
 Unguía,Chocó
 Turbo,Antioquia
Necoclí,Antioquia
San Juan de Uraba ,Antioquia
Arboletes,Antioquia
Las Córdobas,Córdoba
Anorí,Antioquia
Cali ,Valle del Cauca
Bogotá,Cundinamarca
Pereira,Risaralda
Jardín,Antioquia
Barranquilla,Atlantico
Bogotá D.C,Cundinamarca
Medellín,Antioquia
Santa Rosa del Sur,Bolívar
 San Pablo,Bolivar
Simití ,Bolivar
Carmen de Bolivar,Bolivar
La Jagua de Ibirico,Cesar
La Gloria,Cesar
San Alberto ,Cesar
Aguachica,Cesar
Puerto Parra,Santander
Ansermanuevo,Valle del Cauca
Obando,Valle del Cauca
Sevilla,Valle del Cauca
Caicedonia,Valle del Cauca
"Trujillo, Ginebra",Valle del Cauca
Cartago,Valle del Cauca
 La Cumbre,Valle del Cauca
 El Dovio,Valle del Cauca
Riofrio,Valle del Cauca
 Bugalagrande,Valle del Cauca
El Cairo,Valle del Cauca
Tulua,Valle del Cauca
Guadalajara De Buga,Valle del Cauca
Alcala,Valle del Cauca
Ulloa,Valle del Cauca
Restrepo,Valle del Cauca
El Aguila,Valle del Cauca
Dagua,Valle del Cauca
Argelia,Valle del Cauca
Pradera,Valle del Cauca
Jamundi,Valle del Cauca
Versalles,Valle del Cauca
 La Unión,Valle del Cauca
Calima,Valle del Cauca
Vijes,Valle del Cauca
Yotoco,Valle del Cauca
San Vicente del Caguán,Caquetá
Cartagena del Chairá,Caquetá
 Bugalagrande,Valle del Cauca
Cartagena,Bolivar
 Sincelejo,Sucre
San Onofre,Sucre
Ovejas,Sucre
San Onofre,Sucre
Puerto Nare,Antioquia
 Puerto Triunfo,Antioquia
Montelíbano,Córdoba
Uré,Córdoba
Puerto Libertador ,Córdoba
 La Apartada,Córdoba
Unguía,Chocó
Municipios de Bolívar,Bolivar
Municipios de Sucre,Sucre
Barrancabermeja,Santader
Municipios de Nariño,Nariño
Municipios del Valle del Cauca,Valle del Cauca
Municipios de Putumayo,Putumayo
Urabá Antioqueño,Antioquia
Urabá Chocoano ,Chocó
Municipios del Magdalena,Magdalena
Isnos,Huila
Acevedo,Huila
Palestina,Huila
Pitalito,Huila
 San Agustín,Huila
Guachene,Cauca
Calotó,Cauca
Bogotá D.C,Cundinamarca
Jambaló,Cauca
Sotará,Cauca
Bogotá D.C,Cundinamarca
Soacha,Cundinamarca
